날짜,시간,국가,지표명,실제,이전,예측치
02/07/2026,09:30 PM,US,비 농장 급여 JUN,,172K,110K
02/07/2026,09:30 PM,US,실업률 JUN,,4.3%,4.3%
06/07/2026,11:00 PM,US,ISM 서비스 PMI JUN,,54.5,
09/07/2026,03:00 AM,US,FOMC 회의록,,,
09/07/2026,11:00 PM,US,기존주택판매 JUN,,4.17M,
02/07/2026,10:30 AM,AU,무역수지 MAY,A$-3.018B,A$1.383B ®,A$2.2B
07/07/2026,11:00 PM,CA,Ivey 구매자관리자지수(PMI) JUN,,58.2,
09/07/2026,10:30 AM,CN,연간 인플레이션율 (Inflation Rate) 전년 대비 (YoY) JUN,,1.2%,
09/07/2026,03:00 PM,DE,무역수지 MAY,,€14.5B,
10/07/2026,09:30 PM,CA,실업률 JUN,,6.6%,
